node_name,from_mode,to_mode,transfer_cost,transfer_time
Dispur,highway,waterway,50,2.0
Dispur,railway,waterway,40,1.5
Tezpur,railway,waterway,45,2.0
Nagaon,highway,waterway,35,1.0
Jorhat,railway,highway,30,0.5
Sivasagar,railway,waterway,30,1.5
Morigaon,highway,waterway,45,1.5
Chirang,highway,waterway,40,1.0
South Salmara-Mankachar,railway,highway,30,0.5
Lakhimpur,railway,waterway,35,1.0
Dispur,railway,highway,30,1.0
Jorhat,highway,railway,25,0.5
Jorhat,waterway,railway,40,1.0
Dhubri,highway,railway,35,1.2
Silchar,railway,highway,25,0.8
Tinsukia,railway,highway,30,0.5
Guwahati,railway,highway,25,0.5
Guwahati,highway,waterway,45,2.0
Bongaigaon,railway,highway,20,0.5
Bongaigaon,highway,railway,25,0.8
Biswanath,highway,railway,30,0.5
North Lakhimpur,railway,highway,20,0.5
Nalbari,railway,waterway,35,1.5
Tezpur,waterway,railway,40,1.2
Goalpara,highway,railway,20,1.0
Charaideo,highway,railway,25,1.0
Hojai,highway,railway,15,0.8
